,City,year,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
249,FLAGSTAFF,2018,72852.0,0.004694449019930819,2.7452918245209467e-05,0.0005078789875363751,0.0005490583649041893,0.0036100587492450447,0.033835721737220666,0.0024433097238236424,0.030664909679898975,0.0007275023334980509,48.0
47,GILBERT,2011,211404.0,0.00084198974475412,9.460558929821574e-06,9.933586876312653e-05,0.0002648956500350041,0.0004682976670261679,0.018230497057766172,0.0038930199996215775,0.01369888933038164,0.0006385877277629563,25.0
84,GILBERT,2012,214264.0,0.000956763618713363,2.3335698017399096e-05,8.867565246611656e-05,0.00027536123660530936,0.000569391031624538,0.015802934697382667,0.0033883433521263487,0.011649180450285629,0.0007654108949706903,25.0
120,GILBERT,2013,225232.0,0.0008568942246217234,4.43986644881722e-06,6.215813028344107e-05,0.0002086737230944093,0.0005816225047950558,0.015415216310293387,0.002872593592384741,0.011863323151239611,0.0006792995666690346,22.0
154,GILBERT,2014,235430.0,0.0008877373316909485,0.0,0.00011468377012275411,0.0001741494287049229,0.0005989041328632714,0.014751730875419445,0.0024635772841184217,0.011748715117019921,0.0005394384742811026,23.0
180,GILBERT,2015,247324.0,0.0007156604292345264,8.086558522424026e-06,0.00011321181931393638,0.00012938493635878442,0.00046497711503938155,0.013209393346379647,0.002142938008442367,0.010512526079151235,0.0005539292587860459,20.0
217,GILBERT,2016,255899.0,0.0007815583491924548,1.1723375237886823e-05,0.00015240387809252869,0.00014458829460060416,0.0004728428012614352,0.01316144260040094,0.0022039945447227226,0.01046506629568697,0.0004923817599912465,31.0
251,GILBERT,2018,247463.0,0.000945595907266945,8.08201630142688e-06,0.000303075611303508,0.00012931226082283007,0.00050512601883918,0.013226219677285088,0.0016406493091896566,0.01097133712918699,0.0006142332389084429,16.0
48,GLENDALE,2011,229931.0,0.004844931740391683,9.568087817649643e-05,0.00019136175635299285,0.001874475386094089,0.0026834137197681044,0.0640974901166002,0.010620577477591103,0.047135879894403106,0.0063410327446059905,65.0
85,GLENDALE,2012,232997.0,0.004914226363429572,5.150280904904355e-05,0.00023176264072069598,0.0017725550114379156,0.002858405902221917,0.0640952458615347,0.012219041446885582,0.04662291789164667,0.005253286523002442,78.0
121,GLENDALE,2013,234006.0,0.0038674222028494995,5.55541310906558e-05,0.00020939634026477953,0.0014315872242592071,0.002170884507234857,0.058229276172405836,0.010298881225267727,0.043443330512892835,0.004487064434245276,60.0
181,GLENDALE,2015,240374.0,0.003923053242031168,5.4082388278266366e-05,0.00039105726908900297,0.0014810254020817559,0.001996888182582143,0.05389518001114929,0.008262124855433615,0.04126902244003095,0.0043640327156847245,51.0
218,GLENDALE,2016,242938.0,0.004955997003350649,9.467436135968848e-05,0.0004404415941515942,0.001959347652487466,0.0024615333953519006,0.052708921617861344,0.008154343906675778,0.03988672006849484,0.004667857642690728,
252,GLENDALE,2018,249799.0,0.004671756091897886,3.602896728970092e-05,0.00044035404465190013,0.0013010460410169777,0.002894327038939307,0.04077678453476595,0.006569281702488801,0.0299881104407944,0.004219392391482752,62.0
49,GOODYEAR,2011,66199.0,0.0016314445837550416,0.0,0.0002870133989939425,0.000317225335730147,0.001027205849030952,0.028097101164670162,0.01229625825163522,0.014199610266016103,0.0016012326470188371,6.0
86,GOODYEAR,2012,67033.0,0.001536556621365596,0.0,0.000179016305401817,0.000358032610803634,0.000999507705160145,0.026464577148568615,0.007145734190622529,0.017722614234779884,0.0015962287231662017,13.0
122,GOODYEAR,2013,71048.0,0.0013230492061704763,5.629996622002027e-05,0.00022519986488008108,0.00028149983110010133,0.0007600495439702736,0.024152685508388696,0.006094471343317194,0.016904064857561085,0.0011541493075104155,31.0
182,GOODYEAR,2015,78447.0,0.0018228867898071308,1.2747460068581336e-05,0.00022945428123446402,0.00019121190102872003,0.0013894731474753655,0.0227414687623491,0.004818539905923745,0.01658444554922432,0.0013384833072010401,15.0
219,GOODYEAR,2016,82018.0,0.0037796581238264773,0.0,0.00021946402009315029,0.000341388475700456,0.003218805628032871,0.02515301519178717,0.004377087956302275,0.019032407520300422,0.0017435197151844718,0.0
253,GOODYEAR,2018,82159.0,0.0024708187782227146,2.4343042149977482e-05,0.00042600323762460597,0.0004016601954746285,0.0016188123029735027,0.02532893535705157,0.004357404544845969,0.019766550225781717,0.0012049805864238854,0.0
53,MESA,2011,445256.0,0.004127962340765762,4.042618179204772e-05,0.00029421276748656954,0.0011162117972582065,0.002677111594228938,0.03395125500835475,0.006218894299010008,0.02561896976121602,0.002113390948128717,74.0
90,MESA,2012,451391.0,0.003996535154666353,3.101523955949498e-05,0.0003810443717309384,0.001039010525243082,0.0025454650181328383,0.03132539195508993,0.005939418375643289,0.023420936615927212,0.001965036963519432,97.0
126,MESA,2013,456155.0,0.003961372778989598,4.8229220330808606e-05,0.0004450241694160976,0.0010478894235512052,0.0024202299656914863,0.02831493680876018,0.005167103287259813,0.021060823623549014,0.0020870098979513542,124.0
157,MESA,2014,462092.0,0.004585666923469785,2.813292591085758e-05,0.0005453459484258546,0.001014949404014785,0.002997238645118288,0.02800308163742285,0.005102879945984782,0.02108671000579971,0.0018134916856383577,85.0
186,MESA,2015,471034.0,0.004186534305379229,3.396782397873614e-05,0.0005116403486797132,0.0008661795114577717,0.0027747466212630087,0.02527418402917836,0.004710912588050968,0.01881180551722381,0.0017514659239035823,80.0
223,MESA,2016,478277.0,0.004288309912456589,3.972593287990014e-05,0.0005687080917543599,0.0009408773576818454,0.0027389985301404835,0.023446663753431587,0.00407713521662133,0.01757140736435162,0.001798121172458638,30.0
257,MESA,2018,504873.0,0.003638538800846946,3.367183430288409e-05,0.0004714056802403773,0.0008259502884883921,0.0023075109978152922,0.019854498061888833,0.0030958280597298726,0.015049329237253726,0.0017093407649052335,12.0
58,PEORIA,2011,156246.0,0.0019264493171025179,1.2800327688388823e-05,0.0002240057345468044,0.000358409175274887,0.0013312340795924376,0.03055438219218412,0.006963378262483519,0.021504550516493224,0.0020864534132073783,6.0
95,PEORIA,2012,158347.0,0.001869312333040727,5.683719931542751e-05,0.00015156586484114002,0.00048627381636532426,0.0011746354525188352,0.02951113693344364,0.0058668620182257955,0.021964419913228544,0.001679855001989302,7.0
130,PEORIA,2013,161641.0,0.0015713834979986514,2.47461968188764e-05,9.89847872755056e-05,0.0003650064030784269,0.0010826461108258425,0.023694483454074152,0.004435755779783595,0.017978111988913702,0.0012806156853768537,7.0
160,PEORIA,2014,164722.0,0.0014812836172460265,1.2141668993819891e-05,0.00021855004188875803,0.0003642500698145967,0.000886341836548852,0.02002768300530591,0.003684996539624337,0.015237794587243962,0.00110489187843761,3.0
191,PEORIA,2015,170222.0,0.0016625348074866938,5.8746812985395545e-06,0.00018211512025472618,0.0003759796031065315,0.0010985654028268965,0.01978592661348122,0.0038009188001550914,0.014780698147125518,0.0012043096662006085,11.0
228,PEORIA,2016,174797.0,0.0020023226943254174,1.1441843967573813e-05,0.00021167411340011557,0.0004862783686218871,0.001292928368335841,0.021218899637865638,0.003689994679542555,0.016041465242538487,0.0014874397157845958,12.0
262,PEORIA,2018,170177.0,0.002279979080604312,1.762870423147664e-05,0.00033494538039805617,0.00039958396258013714,0.001527821033394642,0.019044876804738594,0.0030497658320454584,0.014719968033282994,0.0012751429394101436,6.0
59,PHOENIX,2011,1466097.0,0.005517370269497857,7.91216406554273e-05,0.00038128445798606776,0.002267244254643451,0.002789719916212911,0.043980036791562906,0.01273176331443281,0.026095135587890842,0.005153137889239252,273.0
96,PHOENIX,2012,1485509.0,0.006366841264509336,8.279990225572515e-05,0.0003742824849933592,0.00236686549862707,0.003542893378633182,0.0409132492633838,0.012057819912232103,0.0240173570136566,0.004838072337495094,306.0
131,PHOENIX,2013,1502139.0,0.006318989121512723,7.855464773899087e-05,0.0004227305196123661,0.002152264204577606,0.00366543974958376,0.039999627198281915,0.01114876852275322,0.024620224892636433,0.0042306337828922624,269.0
161,PHOENIX,2014,1529852.0,0.005718853849914894,7.451701210313154e-05,0.0006575799489100906,0.0019295984186705642,0.0030571584702311074,0.037243471917544964,0.009357767940951152,0.023179366370080244,0.004706337606513572,313.0
192,PHOENIX,2015,1559744.0,0.005937512822617045,7.180665545115095e-05,0.000651388945878298,0.001936215173772106,0.0032781020475154896,0.03491342168971318,0.008205192646998483,0.02198309466168807,0.00472513438102663,
229,PHOENIX,2016,1586611.0,0.006743934083401666,9.202003515669562e-05,0.0006422494234566633,0.002062257226251425,0.0039474073985368814,0.03690381574311536,0.00820869135534797,0.02367814164908727,0.005016982738680118,216.0
